relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
LTW_ENG_20071114.0070.LDC2009T13_1384_49-LTW_ENG_20071114.0070.LDC2009T13_1384_0,LTW_ENG_20071114.0070.LDC2009T13_1384,Krauss-Burnett,,0.948,"{Burnett,started,gathering,material,and,got,help,from,his,friend,Elvis,Costello,"","",who,suggested,Tom,Waits,and,Kathleen,Brennan,'s,``,Trampled,Rose,"","",'',which,is,on,the,album,"","",and,PJ,Harvey,'s,``,Pocket,Knife,"","",'',which,was,recorded,but,was,left,off,because,Krauss,was,n't,satisfied,with,her,performance,.}",49,1,0,1,1,"{word_between=left,word_between=help,word_between=Kathleen,""word_between=,"",word_between=Harvey,word_between=Tom,word_between=off,word_between=suggested,word_between=started,word_between=Rose,word_between=recorded,word_between=and,word_between=gathering,word_between=who,word_between=friend,word_between=from,word_between=the,word_between=which,word_between=on,word_between=``,word_between=is,word_between=was,word_between=album,num_words_between=48,word_between=got,word_between=his,word_between=Elvis,word_between=Costello,word_between=because,word_between='',word_between='s,word_between=but,word_between=Waits,word_between=material,word_between=Brennan,word_between=Pocket,word_between=Trampled,word_between=Knife,word_between=PJ}","{2.09074,-1.71206,-1.39644,-1.39174,1.26517,-1.12868,1.01167,-0.991559,0.836797,0.758779,0.730227,0.625537,0.565348,0.520035,-0.517953,0.507163,0.356385,0.32832,0.308755,-0.300107,0.290995,-0.252233,0.243078,-0.215379,0.17965,0.168154,0.158558,-0.157567,0.135292,0.0444401,-0.0329627,-0.0239473,-0.0153373,-0.0128174,-0.00263612,0,0,0,0}"
eng-WL-11-174592-12942093_13_34-eng-WL-11-174592-12942093_13_49,eng-WL-11-174592-12942093_13,Katie Holmes-Kalologie,,0.914,"{Victoria,Beckham,'s,new,girlfriend,Eva,Longoria,who,was,just,one,of,the,celebrities,who,came,to,welcome,the,soccer,star,and,his,wife,at,a,lavish,Hollywood,bash,hosted,by,Tom,Cruise,and,Katie,Holmes,last,weekend,was,snapped,going,to,Los,Angeles,',premiere,skin,care,center,Kalologie,on,Wednesday,.}",34,2,49,1,1,"{word_between=care,num_words_between=13,word_between=going,word_between=center,word_between=weekend,word_between=',word_between=premiere,word_between=snapped,word_between=was,word_between=skin,word_between=Angeles,word_between=Los,word_between=last,word_between=to}","{2.59288,-1.94902,1.00279,0.758085,0.448585,0.442984,-0.414992,0.25545,-0.252233,0.182021,-0.16307,-0.16307,-0.0682428,-0.00130738}"
eng-NG-31-142496-10048029_951_10-eng-NG-31-142496-10048029_951_59,eng-NG-31-142496-10048029_951,Stephen King-Stephen King,f,0.952,"{On,a,side,note,"","",Joe,Hill,-LRB-,son,of,Stephen,King,-RRB-,came,out,with,a,book,called,``,Heart,Shaped,Box,'',about,a,rich,rock,star,who,collected,odd,things,from,online,auctions,"","",who,bought,a,ghost,on,ebay,"","",and,recieved,a,suit,"","",in,a,heart,shaped,box,"","",and,-LRB-,it,being,Stephen,King,'s,son,-RRB-,it,really,DID,have,a,ghost,with,it,.}",10,2,59,2,2,"{word_between=heart,num_words_between=47,""word_between=,"",word_between=things,word_between=-RRB-,word_between=with,word_between=box,word_between=rock,word_between=-LRB-,word_between=bought,word_between=and,word_between=Heart,word_between=book,word_between=who,word_between=from,word_between=ghost,word_between=odd,potential_last_name_match,word_between=it,word_between=shaped,word_between=on,word_between=called,word_between=``,word_between=came,word_between=suit,word_between=being,word_between=about,word_between=out,word_between=Box,word_between=in,word_between=star,word_between=rich,word_between=a,word_between=online,word_between='',word_between=recieved,word_between=auctions,word_between=ebay,word_between=Shaped,word_between=collected}","{2.77677,-2.02258,-1.39174,1.29906,-1.05935,1.03993,-0.738077,0.729966,-0.686559,0.660762,0.625537,-0.547474,0.543678,0.520035,0.507163,-0.438861,-0.432012,-0.415994,0.38611,0.327231,0.308755,0.303181,-0.300107,-0.271444,0.238638,0.224206,0.21003,0.208824,-0.204953,0.180563,0.179135,-0.0986046,0.0548419,-0.0497189,0.0444401,0,0,0,0,0}"
90593@24_30-90593@24_25,90593@24,Tom Apostle-Lawrence,,0.92,"{Fellow,thespian,Patty,Duke,'s,account,of,the,disease,"","",``,A,Brilliant,Madness,"","",'',has,been,helpful,"","",as,has,the,insight,of,Lawrence,'s,husband,"","",Dr.,Tom,Apostle,"","",whose,two,specialties,include,psychology,.}",30,2,25,1,1,"{word_between=husband,word_between=Dr.,""word_between=,"",num_words_between=4,word_between='s}","{3.89145,1.54385,-1.39174,-1.37483,-0.0329627}"
NYT_ENG_20080413.0032.LDC2009T13_1042_3-NYT_ENG_20080413.0032.LDC2009T13_1042_39,NYT_ENG_20080413.0032.LDC2009T13_1042,Cornejo-Trisha Brown,,0.996,"{In,addition,to,Cornejo,``,Slow,Dancing,'',showed,an,enchantingly,catholic,selection,of,the,city,'s,dancers,:,the,ballerina,Wendy,Whelan,"","",the,Taiwanese,dancer,Wu,Hsing-Kuo,"","",the,drag,queen,Shasta,Cola,"","",the,postmodern,prima,Trisha,Brown,"","",each,--,as,filmed,by,David,Michalek,--,dancing,just,a,short,passage,.}",3,1,39,2,2,"{word_between=selection,num_words_between=35,word_between=queen,""word_between=,"",word_between=:,word_between=Wu,word_between=Shasta,word_between=Hsing-Kuo,word_between=Cola,word_between=postmodern,word_between=prima,word_between=Taiwanese,word_between=city,word_between=Dancing,word_between=drag,word_between=the,word_between=showed,word_between=``,word_between=of,word_between=Wendy,word_between=ballerina,word_between=an,word_between='',word_between='s,word_between=dancers,word_between=dancer,word_between=catholic,word_between=Slow,word_between=Whelan,word_between=enchantingly}","{-1.58407,-1.5096,-1.47804,-1.39174,-1.39097,1.37664,1.34505,1.34505,1.34505,1.34505,1.34505,1.34505,1.27529,1.21214,0.676071,0.356385,0.312218,-0.300107,0.209585,-0.175297,-0.10265,0.0779101,0.0444401,-0.0329627,-0.0252463,-0.00160907,0,0,0,0}"
NYT_ENG_20080530.0012.LDC2009T13_401_22-NYT_ENG_20080530.0012.LDC2009T13_401_30,NYT_ENG_20080530.0012.LDC2009T13_401,Mstislav Rostropovich-Galina Vishnevskaya,t,0.976,"{Usmanov,has,made,lavish,philanthropic,gestures,in,the,last,year,"","",buying,the,art,and,antique,collection,of,the,cellist,and,conductor,Mstislav,Rostropovich,and,his,widow,"","",the,soprano,Galina,Vishnevskaya,"","",and,donating,it,to,the,state,.}",22,2,30,2,2,"{word_between=widow,num_words_between=6,""word_between=,"",word_between=and,word_between=soprano,word_between=the,word_between=his}","{4.62161,-1.40007,-1.39174,0.625537,0.542669,0.356385,0.168154}"
LTW_ENG_20070712.0135.LDC2009T13_125_12-LTW_ENG_20070712.0135.LDC2009T13_125_5,LTW_ENG_20070712.0135.LDC2009T13_125,Richard Bonynge-Joan Sutherland,t,0.982,"{A,protege,of,renowned,soprano,Joan,Sutherland,and,her,husband,"","",conductor,Richard,Bonynge,"","",Hadley,was,once,considered,one,of,America,'s,most,important,and,versatile,tenors,.}",12,2,5,2,2,"{word_between=husband,num_words_between=5,""word_between=,"",word_between=conductor,word_between=and,word_between=her}","{3.89145,-1.44884,-1.39174,1.27342,0.625537,0.550978}"
98134@11_5-98134@11_43,98134@11,Obama-Mitt Romney,,0.96,"{When,McCain,jokingly,invoked,the,Obama,slogan,``,I,am,fired,up,and,ready,to,go,'',in,his,speech,Tuesday,night,"","",it,was,as,cringe-inducing,as,the,white,covers,of,R,&,amp,;,B,songs,in,the,1950s,--,or,Mitt,Romney,'s,stab,at,communing,with,his,inner,hip-hop,on,Martin,Luther,King,'s,birthday,.}",5,1,43,2,2,"{word_between=;,word_between=speech,num_words_between=37,word_between=amp,word_between=Tuesday,""word_between=,"",word_between=white,word_between=as,word_between=songs,word_between=R,word_between=go,word_between=&,word_between=or,word_between=B,word_between=and,word_between=--,word_between=am,word_between=I,word_between=it,word_between=ready,word_between=night,word_between=the,word_between=1950s,word_between=``,word_between=was,word_between=of,word_between=in,word_between=his,word_between=fired,word_between=covers,word_between='',word_between=to,word_between=up,word_between=slogan,word_between=cringe-inducing}","{-3.08536,3.01149,-2.80595,2.52135,1.39651,-1.39174,-1.04685,-0.960814,0.869485,0.842955,0.776328,0.736425,-0.673074,0.642844,0.625537,-0.612218,0.59374,0.481488,0.38611,0.384008,0.357363,0.356385,-0.338799,-0.300107,-0.252233,0.209585,0.180563,0.168154,0.161492,-0.0562367,0.0444401,-0.00130738,-0.000659383,0,0}"
eng-WL-109-174581-12950540_86_12-eng-WL-109-174581-12950540_86_1,eng-WL-109-174581-12950540_86,Vernon Kay-Maggie,,0.914,"{Before,Maggie,left,the,British,Isles,"","",she,recorded,an,interview,with,Vernon,Kay,-LRB-,British,presenter,and,husband,of,Tess,Daly,-RRB-,for,Radio,1,of,the,BBC,.}",12,2,1,1,1,"{num_words_between=10,word_between=left,""word_between=,"",word_between=she,word_between=with,word_between=British,word_between=recorded,word_between=the,word_between=interview,word_between=an,word_between=Isles}","{-2.303,2.09074,-1.39174,1.3036,1.03993,0.74971,0.730227,0.356385,-0.301273,0.0779101,0}"
APW_ENG_20070429.0621.LDC2009T13_421_3-APW_ENG_20070429.0621.LDC2009T13_421_20,APW_ENG_20070429.0621.LDC2009T13_421,Knell-Hosni Mubarak,,0.99,"{Last,week,"","",Knell,met,with,met,with,Queen,Rania,of,Jordan,and,Suzanne,Mubarak,"","",wife,of,Egyptian,President,Hosni,Mubarak,"","",he,said,.}",3,1,20,2,2,"{word_between=wife,num_words_between=16,word_between=Egyptian,""word_between=,"",word_between=with,word_between=met,word_between=President,word_between=and,word_between=Suzanne,word_between=Jordan,word_between=of,word_between=Mubarak,word_between=Queen,word_between=Rania}","{4.1321,-2.04037,1.61649,-1.39174,1.03993,1.02985,0.810313,0.625537,-0.564418,-0.506318,0.209585,-0.0980204,0.0887323,0}"
eng-WL-11-174611-12972894_84_5-eng-WL-11-174611-12972894_84_24,eng-WL-11-174611-12972894_84,Kevin McGee-Gately,,0.922,"{Yet,the,recent,death,of,Kevin,McGee,"","",the,former,husband,of,Little,Britain,star,Matt,Lucas,"","",and,now,the,dubious,events,of,Gately,'s,last,night,raise,troubling,questions,about,what,happened,.}",5,2,24,1,1,"{word_between=husband,num_words_between=17,""word_between=,"",word_between=Lucas,word_between=events,word_between=Matt,word_between=now,word_between=and,word_between=former,word_between=Britain,word_between=the,word_between=Little,word_between=of,word_between=star,word_between=dubious}","{3.89145,-1.64257,-1.39174,0.857143,-0.803358,-0.76653,0.73786,0.625537,0.437364,-0.432939,0.356385,0.309886,0.209585,0.179135,0}"
eng-WL-109-174581-12950590_1142_37-eng-WL-109-174581-12950590_1142_2,eng-WL-109-174581-12950590_1142,Mary Steenburgen-Ted Danson,t,0.934,"{I,love,Ted,Danson,"","",he,used,to,be,the,star,of,one,of,my,favorite,sit-com,"","",Baker,"","",and,some,hilarious,movies,such,as,Made,in,America,and,3,Men,and,a,little,lady,...,Mary,Steenburgen,was,great,in,Allen,'s,Midsummer,Night,'s,Sex,Comedy,and,Hanneke,'s,What,'s,eating,Gilbert,Grape,"","",a,truly,wonderful,movie,with,a,stunning,Johnny,Depp,...,:-RRB-,These,are,wonderful,people,to,try,and,give,a,sense,to,all,the,`,being,rich,and,famous,',thing,.}",37,2,2,2,2,"{word_between=my,word_between=used,word_between=favorite,word_between=lady,word_between=movies,""word_between=,"",word_between=America,word_between=as,word_between=Men,num_words_between=33,word_between=little,word_between=and,word_between=such,word_between=3,word_between=one,word_between=...,word_between=the,word_between=he,word_between=hilarious,word_between=be,word_between=some,word_between=of,word_between=in,word_between=star,word_between=Baker,word_between=a,word_between=Made,word_between=to,word_between=sit-com}","{-2.76501,2.1722,2.10747,2.10734,2.08829,-1.39174,1.09817,-0.960814,-0.909982,-0.888302,-0.637494,0.625537,0.501933,-0.468712,-0.426472,-0.407407,0.356385,0.326569,-0.303353,-0.252737,0.219909,0.209585,0.180563,0.179135,-0.0675806,0.0548419,0.0163238,-0.00130738,0}"
154431@0_7-154431@0_96,154431@0,Al Austin-Fazal Fazlin,,0.986,"{Guest,list,Jeff,Atwater,"","",Senate,president,Al,Austin,"","",Republican,fundraiser,from,Tampa,St.,Petersburg,Mayor,Rick,Baker,and,wife,"","",Joyce,"","",St.,Petersburg,Brian,Ballard,"","",former,chief,of,staff,for,Gov.,Bob,Martinez,and,a,campaign,adviser,to,Crist,Rodney,Barreto,"","",a,Crist,fundraiser,Ron,Book,"","",South,Florida,lobbyist,Charlie,Bronson,"","",agriculture,commissioner,Dean,Colson,"","",a,Miami,lawyer,and,adviser,to,the,governor,on,higher,education,issues,Dr.,Akshay,Desai,"","",head,of,Universal,Health,Care,Insurance,in,St.,Petersburg,Eric,Eikenberg,"","",Crist,'s,chief,of,staff,Fazal,Fazlin,"","",entrepreneur,-LRB-,held,fundraisers,for,Crist,during,the,gubernatorial,campaign,-RRB-,"","",St.,Petersburg,.}",7,2,96,2,2,"{word_between=wife,word_between=agriculture,word_between=Joyce,word_between=Charlie,word_between=Dr.,word_between=Miami,word_between=Tampa,word_between=education,""word_between=,"",word_between=issues,word_between=Florida,word_between=lobbyist,word_between=fundraiser,word_between=Akshay,word_between=Brian,word_between=adviser,word_between=South,word_between=chief,word_between=Rick,word_between=Mayor,word_between=staff,word_between=Bob,word_between=commissioner,word_between=governor,word_between=head,word_between=Crist,word_between=higher,word_between=Gov.,word_between=Republican,word_between=and,word_between=Martinez,word_between=Petersburg,word_between=campaign,word_between=from,word_between=Health,word_between=former,word_between=lawyer,word_between=the,word_between=Ron,word_between=on,word_between=Ballard,word_between=Insurance,word_between=Rodney,word_between=of,word_between=in,word_between=St.,word_between=Eric,word_between=Book,word_between=Desai,word_between=Baker,word_between=for,word_between=a,word_between='s,word_between=Dean,word_between=to,word_between=Eikenberg,word_between=Barreto,word_between=Colson,word_between=Universal,word_between=Bronson,num_words_between=87,word_between=Care}","{4.1321,3.86074,-2.41774,-2.06406,1.54385,-1.53338,1.49336,1.41907,-1.39174,-1.35778,1.3375,1.3184,1.26313,1.25664,-1.22024,1.14876,-1.1477,-1.13267,-1.0733,1.0705,-0.830403,-0.774051,-0.746552,0.730979,-0.730754,-0.711958,-0.702856,-0.652723,0.633659,0.625537,-0.607189,0.543973,-0.542848,0.507163,-0.439808,0.437364,0.404024,0.356385,0.323277,0.308755,-0.29535,-0.258627,0.211721,0.209585,0.180563,0.137001,-0.134749,-0.107696,-0.0801348,-0.0675806,-0.0635128,0.0548419,-0.0329627,-0.0245657,-0.00130738,0,0,0,0,0,0,0}"
APW_ENG_20070322.0750.LDC2009T13_361_25-APW_ENG_20070322.0750.LDC2009T13_361_18,APW_ENG_20070322.0750.LDC2009T13_361,Julie Andrews-Blake Edwards,t,0.958,"{Wexler,found,success,treating,clients,who,were,well-known,in,Hollywood,"","",even,sharing,a,screenplay,credit,with,director,Blake,Edwards,"","",the,husband,of,actress,Julie,Andrews,"","",for,the,movies,``,The,Man,Who,Loved,Women,'',and,``,That,'s,Life,!,''}",25,2,18,2,2,"{word_between=husband,num_words_between=5,""word_between=,"",word_between=actress,word_between=the,word_between=of}","{3.89145,-1.44884,-1.39174,1.23809,0.356385,0.209585}"
eng-WL-11-174611-12973870_198_8-eng-WL-11-174611-12973870_198_12,eng-WL-11-174611-12973870_198,Jenna-Bush,,0.922,"{In,addition,to,being,an,HIV,activist,"","",Jenna,once,offered,the,Bush,family,ranch,to,Ellen,DeGeneres,for,her,wedding,to,Portia,de,Rossi,.}",8,1,12,1,1,"{word_between=offered,word_between=once,num_words_between=3,word_between=the}","{2.17338,0.916747,-0.840691,0.356385}"
AFP_ENG_20080430.0002.LDC2009T13_6_0-AFP_ENG_20080430.0002.LDC2009T13_6_35,AFP_ENG_20080430.0002.LDC2009T13_6,John Lennon-Ono,,0.974,"{John,Lennon,'s,wife,Yoko,Ono,and,a,group,of,collectors,agreed,Wednesday,to,not,release,video,footage,of,the,late,Beatle,pending,a,Boston,court,ruling,on,who,controls,it,"","",lawyers,said.Representatives,of,Ono,and,of,World,Wide,Video,"","",a,group,of,collectors,of,Beatles,memorabilia,"","",met,Wednesday,to,set,a,first,date,for,their,court,battle,over,the,footage,"","",some,of,which,shows,Lennon,smoking,marijuana,"","",writing,songs,and,wondering,if,he,should,drug,Richard,Nixon,.}",0,2,35,1,1,"{word_between=Yoko,word_between=wife,word_between=lawyers,word_between=agreed,""word_between=,"",word_between=court,num_words_between=33,word_between=pending,word_between=collectors,word_between=and,word_between=Wednesday,word_between=who,word_between=ruling,word_between=Beatle,word_between=Boston,word_between=not,word_between=it,word_between=the,word_between=group,word_between=on,word_between=video,word_between=late,word_between=of,word_between=footage,word_between=controls,word_between=Ono,word_between=a,word_between='s,word_between=release,word_between=to,word_between=said.Representatives}","{-4.20451,4.1321,2.24427,1.49706,-1.39174,1.05356,-0.888302,0.727506,-0.681497,0.625537,-0.604256,0.520035,0.437891,-0.427768,-0.422171,0.4019,0.38611,0.356385,-0.31997,0.308755,-0.264937,0.21605,0.209585,-0.201528,0.194979,-0.0603559,0.0548419,-0.0329627,-0.0241516,-0.00130738,0}"
47482@17_41-47482@17_19,47482@17,James Michener-Lucille Ball,,0.948,"{Items,given,to,the,Fords,from,celebrities,sold,for,particularly,high,prices,:,An,engraved,Lucite,box,from,comedienne,Lucille,Ball,and,her,second,husband,"","",Gary,Morton,"","",went,for,$,300,"","",and,an,inscribed,first,edition,of,the,James,Michener,book,``,Alaska,'',garnered,$,""1,300"",.}",41,2,19,2,2,"{word_between=Morton,word_between=husband,num_words_between=20,word_between=Gary,""word_between=,"",word_between=second,word_between=$,word_between=and,word_between=her,word_between=the,word_between=first,word_between=of,word_between=an,word_between=for,word_between=went,word_between=300,word_between=inscribed,word_between=edition}","{4.14715,3.89145,-1.77376,-1.74943,-1.39174,-1.18614,-0.788496,0.625537,0.550978,0.356385,0.253295,0.209585,0.0779101,-0.0635128,0.0433265,-0.00611396,0,0}"
126829@18_11-126829@18_34,126829@18,Linda Arvidson-Larry Edmunds Bookshop,,0.952,"{It,was,at,that,shop,that,McMurtry,discovered,a,copy,of,Linda,Arvidson,'s,-LRB-,Mrs.,D.W.,Griffith,-RRB-,``,My,Life,in,Movies,"","",'',which,he,bought,cheap,then,resold,to,the,Larry,Edmunds,Bookshop,in,Hollywood,"","",where,I,have,"","",over,the,years,"","",dropped,enough,money,to,fund,a,space,shuttle,launch,.}",11,2,34,3,3,"{num_words_between=21,word_between=My,word_between=D.W.,word_between=Mrs.,""word_between=,"",word_between=-RRB-,word_between=-LRB-,word_between=Life,word_between=bought,word_between=the,word_between=which,word_between=he,word_between=``,word_between=then,word_between=in,word_between=Griffith,word_between='',word_between='s,word_between=to,word_between=Movies,word_between=cheap,word_between=resold}","{-2.42479,2.42457,2.04117,1.82086,-1.39174,-1.05935,-0.686559,0.663162,0.660762,0.356385,0.32832,0.326569,-0.300107,-0.286608,0.180563,0.173971,0.0444401,-0.0329627,-0.00130738,0,0,0}"
NYT_ENG_20071123.0146.LDC2009T13_441_25-NYT_ENG_20071123.0146.LDC2009T13_441_41,NYT_ENG_20071123.0146.LDC2009T13_441,Musharraf-Bushra Ahsan,,0.904,"{But,by,Friday,night,"","",Aitzaz,Ahsan,"","",the,chairman,of,the,Supreme,Court,Bar,Association,"","",a,flamboyant,member,of,Parliament,and,one,of,Musharraf,'s,most,caustic,adversaries,"","",was,still,in,prison,in,Rawalpindi,"","",his,wife,"","",Bushra,Ahsan,"","",said,.}",25,1,41,2,2,"{word_between=wife,num_words_between=15,word_between=prison,""word_between=,"",word_between=still,word_between=caustic,word_between=adversaries,word_between=Rawalpindi,word_between=most,word_between=was,word_between=in,word_between=his,word_between='s}","{4.1321,-2.39452,-1.4881,-1.39174,1.12106,0.618793,0.618793,0.618793,0.465428,-0.252233,0.180563,0.168154,-0.0329627}"
2132@37_0-2132@37_9,2132@37,Boehner-Pelosi,,0.94,"{Boehner,"","",in,his,speech,to,the,House,before,Pelosi,'s,"","",was,gracious,and,aware,of,the,moment,'s,history,.}",0,1,9,1,1,"{word_between=speech,word_between=House,num_words_between=8,""word_between=,"",word_between=the,word_between=before,word_between=in,word_between=his,word_between=to}","{3.01149,1.93218,-1.41285,-1.39174,0.356385,-0.236953,0.180563,0.168154,-0.00130738}"
